serial_number,book,unit_number,title,verses,verse_range,format,irregular,unique,cells,type,cell_verse_map
68,Numbers,8,Priestly Duties and Red Heifer,Numbers 17:27-19:22,17:27-19:22,2x3,False,False,6,,"{""1A"": ""17:27-18:7"", ""1B"": ""18:8-18:24"", ""1C"": ""18:25-18:32"", ""2A"": ""19:1-19:10"", ""2B"": ""19:11-19:13"", ""2C"": ""19:14-19:22""}"
69,Numbers,9,Death of Miriam and Aaron,Numbers 20:1-22:1,20:1-22:1,4x2,False,False,8,,"{""1A"": ""20:22-20:29"", ""1B"": ""21:1-21:3"", ""3Aa"": ""21:4-21:13"", ""3B"": ""21:33-22:1"", ""3A"": ""21:31-21:32""}"
70,Numbers,10,Balaam,Numbers 22:2-25:16,22:2-25:16,4x2,False,False,8,,"{""1A"": ""22:2-22:20"", ""1B"": ""22:21-22:35"", ""1Aa"": ""22:36-23:6"", ""1Ba"": ""23:11-23:17"", ""1Ab"": ""23:7-23:10"", ""1Bb"": ""23:18-23:24"", ""3Aa"": ""25:1-25:5"", ""3Ba"": ""25:10-25:15"", ""3Ab"": ""25:6-25:9"", ""3Bb"": ""25:16-25:18""}"
71,Numbers,11,Second Census and Succession,Numbers 26:1-27:23,26:1-27:23,2x2,False,False,4,,"{""1Aa"": ""26:1-26:51"", ""1Ba"": ""26:57-26:62"", ""1Ab"": ""26:52-26:56"", ""1Bb"": ""26:63-26:65"", ""2Aa"": ""27:1-27:5"", ""2Ba"": ""27:12-27:14"", ""2Ab"": ""27:6-27:11"", ""2Bb"": ""27:15-27:23""}"
72,Numbers,12,Festival Calendar and Vows,Numbers 28:1-30:17,28:1-30:17,1x2,True,False,2,,"{""1Aa"": ""28:1-28:8"", ""1Ba"": ""30:2-30:3"", ""1Ab"": ""28:9-28:10"", ""1Bb"": ""30:4-30:5"", ""1Ac"": ""28:11-28:15"", ""1Bc"": ""30:6"", ""1A"": ""29:12-30:1"", ""1B"": ""30:13"", ""1Bh"": ""30:14-30:17""}"
73,Numbers,13,"War, Boundaries, and Inheritance",Numbers 31:1-36:13,31:1-36:13,212,True,False,5,,"{""1Aa"": ""31:1-31:12"", ""1Ba"": ""32:1-32:4"", ""1Ab"": ""31:13-31:20"", ""1Bb"": ""32:5-32:15"", ""3Aa"": ""33:50-33:56"", ""3Ba"": ""35:1-35:8"", ""3Ab"": ""34:1-34:15"", ""3Bb"": ""35:9-35:34"", ""3Ac"": ""34:16-34:29"", ""3Bc"": ""36:1-36:13""}"
74,Deuteronomy,1,Historical Prologue,Deuteronomy 1:1-3:23,1:1-3:23,13331,True,False,11,F,"{""2A"": ""3:23-3:29"", ""2B"": ""3:23-3:29"", ""2C"": ""3:23-3:29""}"
75,Deuteronomy,2,Exhortation to Obedience,Deuteronomy 4:1-49,4:1-49,5x2,False,False,10,CL,"{""1A"": ""4:41-4:43"", ""1B"": ""4:44-4:49""}"
76,Deuteronomy,3,The Decalogue Restated,Deuteronomy 5:1-6:3,5:1-6:3,4x2,False,False,8,CL,"{""1A"": ""5:1"", ""1B"": ""5:2-5:5"", ""1Aa"": ""5:18"", ""1Ba"": ""5:28-5:29"", ""1Ab"": ""5:19-5:23"", ""1Bb"": ""6:1-6:2"", ""1Ac"": ""5:24-5:27"", ""1Bc"": ""6:3""}"
77,Deuteronomy,4,Shema and Wilderness Lessons,Deuteronomy 6:4-8:18,6:4-8:18,4x2,False,False,8,CL,"{""1Aa"": ""6:20-6:21"", ""1Ba"": ""7:1-7:5"", ""1Ab"": ""6:5"", ""1Bb"": ""7:6-7:8"", ""1Ac"": ""6:25"", ""1Bc"": ""7:9-7:10"", ""1A"": ""6:22-6:24"", ""3Aa"": ""8:1"", ""3Ba"": ""8:11"", ""3Bb"": ""8:12-8:17"", ""3Ab"": ""8:2-8:4"", ""3Ac"": ""8:5-8:10"", ""3Bc"": ""8:18-8:20""}"
78,Deuteronomy,5,Golden Calf Recalled,Deuteronomy 9:1-10:11,9:1-10:11,4x2,False,False,8,,"{""1A"": ""10:10"", ""1B"": ""10:11"", ""1Aa"": ""9:25-9:29"", ""1Ba"": ""10:6"", ""1Ab"": ""10:1-10:5"", ""1Bb"": ""10:7-10:9""}"
79,Deuteronomy,6,Love and Obey,Deuteronomy 10:12-11:32,10:12-11:32,3x2,False,False,6,,"{""1A"": ""11:22-11:25"", ""1B"": ""11:26-11:32"", ""1C"": ""11:26-11:32""}"
80,Deuteronomy,7,Deuteronomic Law Code,Deuteronomy 12:1-21:9,12:1-21:9,4x2,False,False,8,,"{""1Aa"": ""12:1-12:4"", ""1Ba"": ""12:28-13:1"", ""1A"": ""12:13-12:14"", ""1B"": ""13:13-13:19"", ""2Aa"": ""14:28-14:29"", ""2Ba"": ""15:19-15:23"", ""2Ab"": ""15:1-15:6"", ""2Bb"": ""16:1-16:8"", ""2Ac"": ""15:7-15:11"", ""2Bc"": ""16:9-16:12"", ""2Ad"": ""15:12-15:18"", ""2Bd"": ""16:13-16:17"", ""3A"": ""17:12-17:13"", ""3B"": ""18:20-18:22"", ""4A"": ""19:11-19:13"", ""4B"": ""20:16-20:18"", ""4Ab"": ""19:14"", ""4Bb"": ""20:19-20:20"", ""4Ac"": ""19:15-19:21"", ""4Bc"": ""21:1-21:9""}"
81,Deuteronomy,8,Case Laws,Deuteronomy 21:10-25:4,21:10-25:4,1x3,True,False,3,,{}
82,Deuteronomy,9,Firstfruits and Covenant Ceremony,Deuteronomy 25:5-27:26,25:5-27:26,4x2,False,False,8,,"{""1Aa"": ""25:5-25:10"", ""1Ba"": ""25:17-25:19"", ""1Ab"": ""25:11-25:12"", ""1Bb"": ""26:1-26:11"", ""1Ac"": ""25:13-25:16"", ""1Bc"": ""26:12-26:15"", ""2Aa"": ""27:15-27:16"", ""2Ba"": ""27:20-27:23"", ""2Ab"": ""27:17"", ""2Bb"": ""27:24-27:25"", ""2A"": ""27:9-27:10"", ""2B"": ""27:11-27:14"", ""2Ac"": ""27:18-27:19"", ""2Bc"": ""27:26""}"
83,Deuteronomy,10,Blessings and Curses,Deuteronomy 28:1-68,28:1-68,4x3,False,False,12,,"{""1Aa"": ""28:15"", ""1Ba"": ""28:27"", ""1Ca"": ""28:38"", ""1Ab"": ""28:16-28:19"", ""1Bb"": ""28:9-28:10"", ""1Cb"": ""28:39"", ""1Ac"": ""28:20"", ""1Bc"": ""28:30-28:31"", ""1C"": ""28:14"", ""1B"": ""28:28-28:29"", ""1Cc"": ""28:40"", ""1Ad"": ""28:21"", ""1Bd"": ""28:32"", ""1Cd"": ""28:41"", ""1Ae"": ""28:22-28:23"", ""1Be"": ""28:33-28:34"", ""1Ce"": ""28:42"", ""1Af"": ""28:24"", ""1Bf"": ""28:35"", ""1Cf"": ""28:43-28:44"", ""1Ag"": ""28:25-28:26"", ""1Bg"": ""28:36-28:37"", ""1Cg"": ""28:45-28:48"", ""3A"": ""28:58-28:63"", ""3B"": ""28:64-28:67"", ""3C"": ""28:68""}"
84,Deuteronomy,11,Covenant Renewal,Deuteronomy 28:69-30:20,28:69-30:20,3x2,False,False,6,,"{""1Aa"": ""29:21-29:27"", ""1Ba"": ""30:1-30:10"", ""1Ab"": ""29:28"", ""1Bb"": ""30:11-30:14"", ""1Ac"": ""29:6-29:8"", ""1B"": ""30:19-30:20"", ""1A"": ""30:15-30:18""}"
85,Deuteronomy,12,Song of Moses,Deuteronomy 31:1-32:47,31:1-32:47,4x2,False,False,8,,"{""1Aa"": ""31:14-31:18"", ""1Ba"": ""31:24-31:27"", ""1Ab"": ""31:19-31:23"", ""1Bb"": ""31:28-31:30"", ""3A"": ""32:44"", ""3B"": ""32:45-32:47""}"
86,Deuteronomy,13,Death of Moses,Deuteronomy 32:48-34:12,32:48-34:12,5x2,False,True,10,CL,"{""1A"": ""33:26-33:29"", ""1B"": ""34:1-34:12"", ""1Aa"": ""33:20-33:21"", ""1Ba"": ""33:23"", ""1Ab"": ""33:22"", ""1Bb"": ""33:24-33:25""}"
